top - 22:30:16 up 1 day, 12:08,  4 users,  load average: 0,18, 0,31, 0,44
Tasks: 255 total,   1 running, 202 sleeping,   1 stopped,   0 zombie
%Cpu(s):  1,7 us,  2,0 sy,  0,0 ni, 96,3 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
КиБ Mem :  5549056 total,   217328 free,  4912884 used,   418844 buff/cache
КиБ Swap:  6835196 total,  5327108 free,  1508088 used.   328152 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND             
 2464 sergmark  20   0 5138308 1,085g  19044 S   2,9 20,5 102:18.11 java                
 5270 sergmark  20   0 2390540 144504  29156 S   2,9  2,6  32:38.92 Telegram            
 1974 sergmark  20   0 4970884 188700  45904 S   2,0  3,4  13:36.32 plasmashell         
30621 sergmark  20   0   51392   4040   3400 R   2,0  0,1   0:00.09 top                 
 1446 sergmark  20   0  698276  54900  30952 S   1,0  1,0  59:56.14 Xorg                
 1968 sergmark  20   0 3498752  49436  22656 S   1,0  0,9  29:48.81 kwin_x11            
 1972 sergmark  20   0 1033848  11496   9416 S   1,0  0,2   0:11.55 krunner             
 2424 sergmark  20   0 1738764 237128  56692 S   1,0  4,3  44:59.23 chrome              
28586 sergmark  20   0  752096  97472  62944 S   1,0  1,8   0:07.58 chrome              
30237 root      20   0       0      0      0 I   1,0  0,0   0:01.71 kworker/3:0         
30293 root      20   0       0      0      0 I   1,0  0,0   0:02.03 kworker/2:0         
30620 sergmark  20   0   35240  31808   1152 S   1,0  0,6   0:00.02 a.out               
    1 root      20   0  225636   5656   4176 S   0,0  0,1   0:49.42 systemd             
    2 root      20   0       0      0      0 S   0,0  0,0   0:00.05 kthreadd            
    6 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 mm_percpu_wq        
    7 root      20   0       0      0      0 S   0,0  0,0   0:02.86 ksoftirqd/0         
    8 root      20   0       0      0      0 I   0,0  0,0   1:17.08 rcu_sched           
    9 root      20   0       0      0      0 I   0,0  0,0   0:00.00 rcu_bh              
   10 root      rt   0       0      0      0 S   0,0  0,0   0:00.05 migration/0         
   11 root      rt   0       0      0      0 S   0,0  0,0   0:00.19 watchdog/0          
   12 root      20   0       0      0      0 S   0,0  0,0   0:00.00 cpuhp/0 
